,tweetid,content,polarity
0,768225400254111744,totalmente puntual,NONE
1,770077064833671168,hola sandrita habia desear feliz dia madre tardar seguro saber tú si juno tomar mas foto,P
2,771207534342320128,si andar hacer mejor quedar calladita jaja asir quemar mismo insinuar uno metida,N
3,771900763987513345,pereza querer chocar banano,N
4,772550560998301697,bueno mayor cuánto campar tú sos cartaguito cada aspecto vida vestir,N
5,772594807357124608,pasar día buscar baby lips acabar encontrar mesita noche fijar poner ahí dormir,NEU
6,772264329433509888,halcon terminal ver mortal mary jo bang volar todavía quedar duluth salcedo,P
7,771140523562143744,ahorita ir cambiar ligar brackett alfajor argentino bulto hambre hacer poder esperar,NONE
8,773525753082187776,amor paciente bondadoso envidioso orgulloso egoísta guardar rencor corintio bueno día,P
9,774595982600253441,amanecer respirar o2 puro regalar si am frente mar preparar mente meditación,P
10,774723515995914240,acabar ver chamaco piercing mota ombligo peor caro fumar jamón,N
11,773655374796759041,hahaha sq si hacer rato cambiarlo haha creer si aguantar mio bastantito casi año,NEU
12,774256876787671040,acabar ver compañero trabajar sentir tentar saludarla trompa carro 150kmph intencionalmente,N
13,774803451830087680,ah si gracia encontrar ahora pricesmart vender hacer año,NONE
14,774852457209880576,bueno noche papar descansar,P
15,774865746639728640,faltar mil colorir único manera hacer todo entrar metallica literal pichaseandome semana trabajar hora,N
16,773360298472329216,alvarado velar salud,NONE
17,773378686301016065,nunca hacer existir según evidenciar aparecer vez día casar válido,N
18,775116236912984064,alegrar muchísimo gustar igualmente placer saludarte próximo venir sj avisar tiempo ir café,P
19,768160329486495744,hoy preguntar existencial hoy hacer freír volver dar hipar después tanto año,NONE
20,768203766898233345,aquí chepe dónde conseguir bueno sartén herrar ver universal marcar gibson q siquiera aparecer internet,NONE
21,769270495971770368,nunca decir contrario,NONE
22,769305893976485888,dar ganar volarlo acordar pelar desmadrar dejar querer,N
23,769344454088019968,pobre bastian scheweisteinger pasar united crack genio mou querer,P
24,769339737043677186,esaa mejor suerte disfrutar noche disfrutar grande saludo costa rico bueno vida puro vida,P
25,757258941210382340,mae mañana llegar cuidar quedo dormir ahí liena quedar dormir llegar,N
26,757247192050446337,familia ir playa irresponsable quedarme hacer extra clase martes,NONE
27,757252258127941632,matt cómodo año ser partir tourjunto bicis camisa amarillo mucho gracia,P
28,757123970256605185,mejor dormir bueno noche,NEU
29,757418118947872768,horario semestre tan tan feo despedir poco vida social estrenar suicidar squad,N
30,756912334816186368,sabio ir ser bueno día dejar bus romper fajar bolso,N
31,756520939492302849,maes vida mierda feliz mejor sonreír aprovechar tiempo amargar ir hacer menos mierda,NEU
32,756650097102893056,mal jugar creer q jugador viejo casar deber tener prioridad bueno,N
33,756618178650923008,parce igual,NEU
34,756700943043928064,gracia dios cerrar broche orar dios siempre dar mejor hijo semana mejor pasar thnksgod,P
35,756313579872096256,hola paular partir primero generación ir tener resolución problema bachi matar,NONE
36,756354568003457024,excelente dar carro molestar igual conocer nadie mas q hacer uber asi bono,P
37,757793484468211713,acá ugh canelo gustar caer pesar quitar gracia kris,N
38,756184498606190592,solo querer dormir mas,N
39,775941293411176450,bueno noche papar descansar,P
40,775928256633581568,oír revivir escobar pa poner interesante seriar eh jajajaja seriar,N
41,756194807630798853,único senador q dirigir español audiencia republicano apoyar padre costarricense penar,N
42,758066276388384768,horario quedar tan perfecto tan bueno expectativa profes querer entrar clase tan bichoraro ser,P
43,755513187957518336,wtf biblia firmar diablo okno venir mente v,NONE
44,760675856326860800,sólo mamá lograr primero vez cenar paz todo familia rodríguez feliz tener madre,P
45,760711448544837632,vivir metro basílico salir ver jugar polvora do día bonito nadaquehacer,P
46,759198767451025408,fijar demasiar hermoso,P
47,760357231913119744,ver looking queers as folk asir dar contar nunca grupo mejorar amigo gay alguien adoptar,P
48,760177672525783040,recordar escribir hermano motivar hacer sentir útil dios dar mejor hermano,P
49,760585615532437506,hoy iniciar concachampions realmente importar casar ir seguir si,N
